x,y,weight
Momo,Aang,3
Old Sweepy,Aang,3
Senlin Village leader,Aang,3
Shinu,Ozai,3
Shinu,Zhao,3
Shyu,Katara,3
Azula,Ursa,3
Bato,Hakoda,3
Mechanist,Teo,3
Sokka,Bumi,3
Sokka,Calm man,3
Iroh,Quon,3
Iroh,Young Zuko,3
Jee,Iroh,3
Jee,Zuko,3
Aang,Music teacher,3
Aang,Oh,3
Aang,Pirate captain,3
Aang,Senlin Village leader,3
Young Zuko,Iroh,3
Azula,Lo,3
Azula,Shuzumu,3
Li,Azula,3
Lo,Azula,3
Long Feng,Katara,3
Long Feng,Kuei,3
Sokka,Iroh,3
Jeong Jeong,Zhao,3
General Sung,Toph,3
Gow,Zuko,3
Great Fire Sage,Shyu,3
Xin Fu,Toph,3
Yangchen,Aang,3
Ying,Sokka,3
Iroh,June,3
Sokka,Lily,3
Sokka,Long Feng,3
Chey,Aang,3
Sokka,Pirate captain,3
Sokka,Senlin Village leader,3
Sokka,Smellerbee,3
Tycho,Iroh,3
Tyro,Haru,3
Ursa,Azula,3
Aang,Suki,3
Sokka,Southern Water Tribe boy,3
Avatar Roku,Aang,3
Sokka,Ty Lee,3
Sokka,Wu,3
Sokka,Xu,3
Storyteller,Aang,3
Katara,Xin Fu,3
Kay-fon,Katara,3
Kay-fon,Sokka,3
Suki,Katara,3
Tashi,Gyatso,3
Teo,Sokka,3
Actor Sokka,Sokka,3
Katara,Bato,3
Katara,Canyon guide,3
Katara,Dock,3
Katara,Fong,3
Toph,Lao,3
Toph,The Boulder,3
Fong,Katara,3
Actor Zuko,Actor Iroh,3
Actor Zuko,Actress Azula,3
Actress Aang,Actress Katara,3
Actress Katara,Actor Zuko,3
The Boulder,Toph,3
Ticket lady,Toph,3
Katara,Joo Dee,3
Katara,Kanna,3
Katara,Kay-fon,3
Katara,Oyaji,3
Toph,Azula,3
Toph,General Sung,3
Aang,Ying,3
Aang,Actress Aang,3
Zuko,Fung,3
Oyaji,Sokka,3
Ozai,Aang,3
Ozai,Shinu,3
Pao,Iroh,3
Haru's mother,Katara,3
Hide,Aang,3
Huu,Aang,3
Aang,Hakoda,3
Aang,Dock,2
Aang,Hide,2
Aang,Headmaster,2
Aang,Haru,2
Aang,Ham Ghao,2
Zhao,Shinu,2
Zhao,Jeong Jeong,2
Zhao,Great Fire Sage,2
Huu,Katara,2
Huu,Due,2
Headmaster,Katara,2
Pasang,Gyatso,2
Pao,Quon,2
Pakku,Sokka,2
Ozai,Young Zuko,2
Oyaji,Katara,2
Aang,Appa,2
Aang,Avatar Roku,2
Zuko,Southern Raiders commander,2
Zuko,Chit Sang,2
Aang,Xu,2
Toph,June,2
Toph,Joo Dee,2
Toph,Actress Aang,2
Katara,Senlin Village leader,2
Katara,Old Sweepy,2
Tong,Katara,2
Tho,Katara,2
The Duke,Jet,2
Actress Azula,Actor Zuko,2
Actress Aang,Actor Sokka,2
Actor Zuko,Actress Katara,2
Actor Toph,Actress Aang,2
General How,Kuei,2
Gansu,Lee,2
Gan Jin tribesman,Zhang leader,2
Gan Jin tribesman,Sokka,2
Fung,Iroh,2
Toph,Yu,2
Toph,Ying,2
Toph,Kuei,2
Katara,General How,2
Katara,Gan Jin tribesman,2
Katara,Chong,2
Katara,Calm man,2
Katara,Bumi,2
Katara,Arnook,2
Actor Ozai,Actress Azula,2
Tax collector,Haru's mother,2
Tashi,Aang,2
Katara,Zhao,2
Katara,Xu,2
Katara,Wan Shi Tong,2
Katara,Tong,2
Katara,Tho,2
Southern Water Tribe boy,Sokka,2
Southern Raiders commander,Zuko,2
Sokka,Ying,2
Kya,Yon Rha,2
Dock,Sokka,2
Arnook,Katara,2
Sokka,The Duke,2
Sokka,Teo,2
Sokka,Tax collector,2
Wan Shi Tong,Katara,2
Aang,Sun Warrior chief,2
Aang,Storyteller,2
Kanna,Sokka,2
June,Iroh,2
Joo Dee,Long Feng,2
Joo Dee,Katara,2
Jet,The Duke,2
Jet,Pipsqueak,2
Gyatso,Pasang,2
Great Fire Sage,Zhao,2
Ty Lee,Sokka,2
Sokka,Shyu,2
Sokka,Pipsqueak,2
Sokka,Pakku,2
Sokka,Macmu-Ling,2
Ding,Aang,2
Chit Sang,Sokka,2
Chey,Lin Yee,2
Lao,Toph,2
Lao,Poppy,2
Sokka,Kay-fon,2
Iroh,Katara,2
Ying,Than,2
Ying,Aang,2
Xu,Aang,2
Ghashiun,Sha-Mo,2
General Sung,Aang,2
Jeong Jeong,Roku,2
Wan Shi Tong,Zei,2
Sokka,Jeong Jeong,2
Sokka,Headmaster,2
Sokka,General Sung,2
Sokka,Ding,2
Long Feng,Joo Dee,2
Lao,Yu,2
Dock,Aang,2
Azula,Toph,2
Azula,Sokka,2
Aang,Qin,2
Aang,On Ji,2
Aang,Old Sweepy,2
Yon Rha's mother,Yon Rha,2
Yon Rha,Yon Rha's mother,2
Jeong Jeong,Katara,2
Iroh,Song,2
Sokka,Canyon guide,2
Ming,Iroh,2
Mechanist,Qin,2
Malu,Katara,2
Malu,Aang,2
Macmu-Ling,Sokka,2
Broadsword man,Iroh,2
Bato,Aang,2
Baboon spirit,Aang,2
Azulon,Ozai,2
Shyu,Zuko,2
Shyu,Sokka,2
Shyu,Great Fire Sage,2
Shuzumu,Azula,2
Senlin Village leader,Kay-fon,2
Ruon-Jian,Zuko,2
Music teacher,Aang,2
Mongke,Iroh,2
Moku,Aang,2
Ming,Warden Poon,2
Quon,Pao,2
Haru's mother,Haru,2
Aang,Kyoshi,2
Aang,Koko,2
Zei,Katara,2
Young Zuko,Ozai,2
Ham Ghao,Sun Warrior chief,2
Hakoda,Suki,2
Hakoda,Fire Navy officer,2
Hakoda,Bato,2
Hakoda,Aang,2
Iroh,Fung,2
Qin,Mechanist,2
Qin,Aang,2
On Ji,Aang,2
Canyon guide,Zhang leader,2
Canyon guide,Sokka,2
Canyon guide,Gan Jin tribesman,2
Calm man,Katara,2
Bumi,Suki,2
Bumi,Katara,2
Pirate captain,Katara,2
Pipsqueak,Jet,2
Aang,Kanna,2
Haru,Teo,2
Haru,Haru's mother,2
Zuko,Ruon-Jian,2
Zuko,Oh,2
Aang,General How,2
Aang,Baboon spirit,1
Aang,Gan Jin man,1
Aang,General Sung,1
Aang,Ghashiun,1
Zuko,Piandao,1
Zuko,Quon,1
Zuko,Roku,1
Zuko,Smellerbee,1
Haru,Aang,1
Haru,Pipsqueak,1
Haru,Sokka,1
Zhao,Yue,1
Zuko,Blue dragon,1
Headmaster,Aang,1
Haru's mother,Sokka,1
Haru,Tyro,1
Aang,Moku,1
Aang,Mai,1
Yung,Katara,1
Yung,Aang,1
Yue,Iroh,1
Yue,Arnook,1
Yu,Toph,1
Yu,Lao,1
Young Zuko,Young Zuko,1
Iroh,Jin,1
Hakoda,Zuko,1
Hakoda,Toph,1
Hakoda,The Boulder,1
Pong,Sokka,1
Chan,Mai,1
Canyon guide,Katara,1
Canyon guide,Gan Jin Leader,1
Bumi,Zuko,1
Bumi,Piandao,1
Old Sweepy,Katara,1
Pong,Katara,1
Poi,Wu,1
Pirate captain,Sokka,1
Pirate captain,Oh,1
Pirate captain,Iroh,1
Pipsqueak,The Duke,1
Pipsqueak,Aang,1
Ping,Wu,1
Ping,Poi,1
Mother Superior,Sokka,1
Mother Superior,Bato,1
Momo,Appa,1
Moku,Sokka,1
Moku,Chong,1
Ruon-Jian,Ty Lee,1
Ruon-Jian,Chan,1
Roku,Zhao,1
Roku,Roku,1
Roku,Jeong Jeong,1
Qin,Ty Lee,1
Princess Yue,Sokka,1
Poppy,Toph,1
Poppy,Katara,1
Poppy,Aang,1
Pong,Toph,1
Blue Spirit,Actor Zuko,1
Bato,Tyro,1
Bato,Fire Navy officer,1
Azulon,Ursa,1
Smellerbee,Iroh,1
Shyu,Shyu,1
Sensitive ruffian,Aang,1
Senlin Village leader,Katara,1
Sela,Zuko,1
Sela,Gansu,1
Scary prisoner,Aang,1
Oh,Sokka,1
Oh,Katara,1
Oh,Iroh,1
Oh,Aang,1
Music teacher,Shoji,1
Sokka,Actress Katara,1
Michi,Ukano,1
