x,y,weight
Kuruk,Koh,1
Kuei,Long Feng,1
Kuei,Katara,1
Kuei,Aang,1
Kenji,Kenji,1
Kenji,Aang,1
Kay-fon,Aang,1
Katara,Zhao,1
Katara,Yu,1
Katara,Yon Rha,1
Katara,Xin Fu,1
Katara,Sozin,1
Dock,Dock,1
Dock,Aang,1
Ding,Sokka,1
Chong,Sokka,1
Chong,Moku,1
Long Feng,Kyoshi,1
Long Feng,Katara,1
Long Feng,Joo Dee,1
Long Feng,Jet,1
Long Feng,Azula,1
Long Feng,Appa,1
Long Feng,Aang,1
Lin Yee,Jeong Jeong,1
Lin Yee,Chey,1
Lieutenant Jee,Iroh,1
Lao,Xin Fu,1
Mechanist,Katara,1
Mechanist,Huu,1
Malu,Katara,1
Mai,Ty Lee,1
Mai,Lee,1
Mai,Kyoshi,1
Mai,Iroh,1
Mai,Azula,1
Long Feng,Sokka,1
Fire Navy officer,Chan,1
Earthbender captain,Zuko,1
Earthbender captain,The Boulder,1
Due,Sokka,1
Due,Katara,1
Due,Aang,1
Dock,Katara,1
June,Iroh,1
Joo Dee,Aang,1
Jin,Zuko,1
Ozai,Aang,1
Oyaji,Oyaji,1
Oyaji,Aang,1
Old Sweepy,Old Sweepy,1
Mung,Jet,1
Mung,Aang,1
Mother Superior,Aang,1
Mongke,Mongke,1
Momo,Momo,1
Momo,Aang,1
Meng,Katara,1
Meng,Aang,1
Mechanist,Toph,1
Pakku,Fong,1
Pakku,Appa,1
Ozai,Sozin,1
Ozai,Lu Ten,1
Ozai,Iroh,1
Ozai,Azula,1
Katara,Iroh,1
Katara,Hakoda,1
Katara,Gyatso,1
Katara,Bumi,1
Katara,Azula,1
Katara,Avatar Roku,1
Kanna,Sokka,1
Kanna,Katara,1
Kanna,Kanna,1
June,Sokka,1
Qin,Aang,1
Pirate captain,Momo,1
Pirate captain,Aang,1
Pipsqueak,Aang,1
Pathik,Katara,1
Chit Sang,Zuko,1
Chey,Jeong Jeong,1
Chan,Zuko,1
Chan,Ruon-Jian,1
Canyon guide,Jin,1
Canyon guide,Aang,1
Bumi,Jeong Jeong,1
Pasang,Aang,1
Pakku,Yagoda,1
Pakku,Momo,1
Pakku,Iroh,1
General How,Appa,1
Shyu,Sozin,1
Shyu,Katara,1
Shinu,Zhao,1
Shinu,Ozai,1
Senlin Village leader,Aang,1
Sela,Zuko,1
Sela,Lee,1
Sela,Gansu,1
Scary prisoner,Aang,1
Ruon-Jian,Zuko,1
Ruon-Jian,Ruon-Jian,1
Roku,Ozai,1
Roku,Jet,1
Quon,Pao,1
Qin Lee,Qin,1
Bato,Chan,1
Bato,Bato,1
Azulon,Iroh,1
Azula,Sozin,1
Azula,Shuzumu,1
Smellerbee,Jet,1
Jin,Jin,1
Jet,Pipsqueak,1
Jet,Lee,1
Hakoda,Bato,1
Hakoda,Appa,1
Hahn,Yue,1
Great Fire Sage,Shyu,1
Great Fire Sage,Roku,1
Great Fire Sage,Avatar Roku,1
Ghashiun,Ghashiun,1
Actress Katara,Zuko,1
Sokka,Pipsqueak,1
Sokka,Piandao,1
Sokka,Ozai,1
Sokka,Oyaji,1
Sokka,Meng,1
Sokka,Kuei,1
Sokka,King Bumi,1
Sokka,Jeong Jeong,1
Sokka,Haru,1
Sokka,Hama,1
Sokka,Fung,1
Sokka,Due,1
Smellerbee,Sokka,1
Smellerbee,Smellerbee,1
Smellerbee,Pipsqueak,1
Iroh,Pao,1
Sokka,Wan Shi Tong,1
Sokka,Tong,1
Sokka,Teo,1
Sokka,Smellerbee,1
Sokka,Shyu,1
Azula,Katara,1
Azula,Chan,1
Avatar Roku,Sozin,1
Avatar Roku,Roku,1
Avatar Roku,Aang,1
Arnook,Sokka,1
Arnook,Princess Yue,1
Arnook,Hahn,1
Arnook,Arnook,1
Arnook,Aang,1
Suki,Appa,1
Storyteller,Sokka,1
Storyteller,Momo,1
Sozin,Aang,1
Southern Water Tribe girl,Katara,1
Sokka,Xu,1
Gan Jin tribesman,Sokka,1
Gan Jin tribesman,Katara,1
Gan Jin tribesman,Aang,1
Fung,Xin Fu,1
Jeong Jeong,Zhao,1
Jee,Lieutenant Jee,1
Jee,Jee,1
Iroh,Toph,1
Iroh,Sozin,1
Iroh,Song,1
Actress Aang,Actress Aang,1
Actor Zuko,Zuko,1
Actor Zuko,Azula,1
Actor Zuko,Actress Azula,1
Toph,Ding,1
Tho,Momo,1
Tho,Due,1
The Duke,Pipsqueak,1
The Duke,Momo,1
The Boulder,The Hippo,1
Than,Ying,1
Teo,Katara,1
Sun Warrior chief,Iroh,1
Suki,Ty Lee,1
Suki,Ozai,1
Suki,Lee,1
Huu,Huu,1
Hide,Headmaster,1
Headmaster,Sokka,1
Ursa,Azulon,1
Ursa,Azula,1
Ty Lee,Kyoshi,1
Toph,Xin Fu,1
Toph,Long Feng,1
Toph,Kyoshi,1
Toph,June,1
Actress Katara,Actor Zuko,1
Actress Azula,Zuko,1
Actress Aang,Toph,1
Actress Aang,Momo,1
Actress Aang,Katara,1
Actress Aang,Actress Katara,1
Xu,Dock,1
Xin Fu,Xin Fu,1
Xin Fu,Toph,1
Wu,Katara,1
Wu,Aunt Wu,1
Wan Shi Tong,Sokka,1
Ursa,Mai,1
Ursa,Lu Ten,1
Iroh,Ozai,1
Iroh,Mongke,1
Iroh,Lieutenant Jee,1
Iroh,Katara,1
Iroh,Jet,1
Iroh,Blue Spirit,1
Huu,Sokka,1
Huu,Katara,1
Zuko,The Duke,1
Zuko,Teo,1
Zuko,Suki,1
Zuko,Sozin,1
Actor Sokka,Aang,1
Actor Ozai,Aang,1
Actor Jet,Jet,1
Actor Jet,Actress Aang,1
Actor Jet,Aang,1
Actor Iroh,Zuko,1
Yue,Arnook,1
Young Zuko,Zuko,1
Young Zuko,Ursa,1
Young Zuko,Lu Ten,1
Yon Rha,Katara,1
Xu,Xu,1
Zuko,Ozai,1
Aang,Bato,1
Zuko,Warden Poon,1
Zuko,Ursa,1
Zuko,Jin,1
Zuko,Jet,1
Zuko,Jeong Jeong,1
Zuko,Haru,1
Zhao,Sokka,1
Yung,Yung,1
Yung,Katara,1
Yung,Aang,1
Yue,Zuko,1
Yue,Katara,1
Actor Zuko,Actor Iroh,1
Actor Toph,Zuko,1
Katara,Long Feng,1
Katara,Kuei,1
Katara,Kanna,1
Katara,June,1
Katara,Jin,1
Zhao,Appa,1
Zhao,Aang,1
Zhang leader,Aang,1
Aang,Teo,1
Aang,Shyu,1
Aang,Pathik,1
Aang,Pakku,1
Aang,Mother Superior,1
Zei,Katara,1
Zuko,Senlin Village leader,1
Zuko,Pakku,1
