character,hub_score,authority_score
ruon-jian,0.0021769714807627623,0.0027306145644512146
tax collector,0.00019894164652530706,0.0026351383617305513
southern water tribe boy,0.0028899152759420087,0.0026351383617305513
ding,0.0031568156672419543,0.0026351383617305513
man with red shoes,-0.0,0.0026351383617305513
macmu-ling,0.0028899152759420087,0.0026351383617305513
yon rha,0.004208686439703571,0.0025905639311929415
joo dee replacement,-0.0,0.0025701572090041144
yung,0.005804756781899366,0.0025701572090041144
yagoda,0.002647941114657411,0.0025701572090041144
yu,0.0026907398625141948,0.0025223693287818923
young zuko,0.001835270093482704,0.0021547602181622243
gansu,0.0016354156573265962,0.0017621362026225545
lee,0.0016354156573265962,0.001550764469513887
gow,0.0016483493044180367,0.0015499286552703075
fire navy officer,0.001251560738920654,0.0015347368005765383
actor toph,0.001872231659991923,0.0015254141787415605
song's mother,0.001149693283055448,0.001491604955027903
southern raiders commander,0.0015275921208651052,0.0014454948640855757
blue dragon,0.0015336325844324016,0.0014454948640855757
sela,0.0016354156573265962,0.0014454948640855757
ming,0.0011542394444914788,0.0014173080444247375
shinu,0.0010912519385633467,0.0013777873022424974
ursa,0.001226139474112624,0.001326643970514088
earthbender captain,0.002677285403920553,0.001313396601275785
lieutenant jee,-0.0,0.001313396601275785
tycho,0.001149693283055448,0.001313396601275785
mongke,0.001149693283055448,0.001313396601275785
ukano,-0.0,0.0012086871932007665
shuzumu,0.0010942916256869422,0.0011733324596640928
head of dai li,0.0010942916256869422,0.0011733324596640928
actress yue,0.0001764216213777327,0.0010184534087803608
azulon,0.0005465004496131695,0.0006443046149186851
poi,0.0006018249404245774,0.0006158978072110634
poppy,0.00736095029106618,0.0005188814459484189
cabbage merchant,-0.0,0.0004913256489223881
actor zuko,0.00018579300095286863,0.0003571784684558543
sozin,0.0003653939820035894,0.00031230285640923425
kya,0.00015851428741722303,0.0002709077407289392
yon rha's mother,0.00015851428741722303,0.0002709077407289392
pasang,0.0004275420624801357,0.00024147976799364026
earth kingdom soldier,0.0016224308675099604,0.00021137173310866733
actor ozai,0.0003181171533399554,0.00012379211687810104
bujing,-0.0,0.00011813397880213819
red dragon,-0.0,9.871795975043648e-05
pao,0.0013237210742144579,7.429691060316566e-05
warden poon,0.0016143159310778217,7.429691060316538e-05
actress azula,0.0003378935815003839,3.397667816305106e-05
actor iroh,2.3934433190121196e-05,1.1959256849492513e-05
female fire nation soldier,-3.5128837316423604e-21,6.352383796118374e-19
princess yue,0.0028899152759420087,-0.0
blue spirit,2.1855430675274848e-05,-0.0
michi,0.0005492533628413822,-0.0
actor jet,0.00031603815082510906,-0.0
longshot,0.002647941114657411,-0.0
the hippo,0.00017872125694018174,-0.0
ta min,1.910953215475232e-05,-0.0
unnamed fire nation boy,0.0001988459846776184,-0.0
male fire nation soldier,3.886966767034102e-20,-5.741028167205063e-20
