x,y,sentiment
Katara,Jet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Jet,Sokka,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Jet,Sokka,"{'neg': 0.086, 'neu': 0.835, 'pos': 0.079, 'compound': -0.0772}"
Sokka,Katara,"{'neg': 0.343, 'neu': 0.657, 'pos': 0.0, 'compound': -0.5723}"
Sokka,Jet,"{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.357}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.5478}"
Aang,Sokka,"{'neg': 0.565, 'neu': 0.435, 'pos': 0.0, 'compound': -0.0772}"
Jet,Longshot,"{'neg': 0.082, 'neu': 0.918, 'pos': 0.0, 'compound': -0.34}"
Jet,Sokka,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.6369}"
Jet,Jet,"{'neg': 0.285, 'neu': 0.715, 'pos': 0.0, 'compound': -0.582}"
Sokka,Aang,"{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.6476}"
Jet,Aang,"{'neg': 0.095, 'neu': 0.762, 'pos': 0.143, 'compound': 0.127}"
Jet,Sokka,"{'neg': 0.102, 'neu': 0.424, 'pos': 0.475, 'compound': 0.8689}"
Aang,Katara,"{'neg': 0.148, 'neu': 0.673, 'pos': 0.179, 'compound': 0.1179}"
Jet,Smellerbee,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Jet,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Katara,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Jet,Aang,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.4404}"
Katara,Jet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Jet,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2732}"
Sokka,Jet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Pipsqueak,Sokka,"{'neg': 0.051, 'neu': 0.817, 'pos': 0.132, 'compound': 0.5719}"
Sokka,Jet,"{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.3291}"
Smellerbee,Sokka,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Pipsqueak,Smellerbee,"{'neg': 0.063, 'neu': 0.937, 'pos': 0.0, 'compound': -0.3182}"
Katara,Aang,"{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.5423}"
Katara,Jet,"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.5423}"
Katara,Jet,"{'neg': 0.0, 'neu': 0.675, 'pos': 0.325, 'compound': 0.3415}"
Jet,Katara,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.0772}"
Katara,Jet,"{'neg': 0.126, 'neu': 0.795, 'pos': 0.079, 'compound': -0.1779}"
Aang,Jet,"{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.2924}"
Katara,Aang,"{'neg': 0.197, 'neu': 0.747, 'pos': 0.056, 'compound': -0.7721}"
Katara,Sokka,"{'neg': 0.268, 'neu': 0.551, 'pos': 0.181, 'compound': -0.0258}"
Katara,Jet,"{'neg': 0.23, 'neu': 0.77, 'pos': 0.0, 'compound': -0.5983}"
Jet,Katara,"{'neg': 0.113, 'neu': 0.751, 'pos': 0.136, 'compound': 0.128}"
Sokka,Sokka,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6229}"
Sokka,Jet,"{'neg': 0.133, 'neu': 0.699, 'pos': 0.168, 'compound': 0.128}"
Katara,Jet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Katara,Sokka,"{'neg': 0.054, 'neu': 0.9, 'pos': 0.046, 'compound': -0.0772}"
Katara,Sokka,"{'neg': 0.239, 'neu': 0.666, 'pos': 0.094, 'compound': -0.7359}"
Sokka,Aang,"{'neg': 0.232, 'neu': 0.712, 'pos': 0.056, 'compound': -0.6908}"
Aang,Aang,"{'neg': 0.068, 'neu': 0.847, 'pos': 0.085, 'compound': 0.3818}"
Katara,Sokka,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.5859}"
Gan Jin tribesman,Sokka,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Gan Jin tribesman,Sokka,"{'neg': 0.058, 'neu': 0.884, 'pos': 0.058, 'compound': 0.0}"
Zhang leader,Canyon guide,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Gan Jin tribesman,Aang,"{'neg': 0.08, 'neu': 0.897, 'pos': 0.023, 'compound': -0.4565}"
Canyon guide,Jin,"{'neg': 0.125, 'neu': 0.813, 'pos': 0.061, 'compound': -0.4378}"
Zhang leader,Canyon guide,"{'neg': 0.119, 'neu': 0.83, 'pos': 0.05, 'compound': -0.4721}"
Katara,Aang,"{'neg': 0.146, 'neu': 0.631, 'pos': 0.223, 'compound': 0.1531}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.807}"
Aang,Appa,"{'neg': 0.137, 'neu': 0.754, 'pos': 0.109, 'compound': -0.3382}"
Aang,Appa,"{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.0772}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.5423}"
Aang,Appa,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.7707}"
Canyon guide,Than,"{'neg': 0.06, 'neu': 0.916, 'pos': 0.024, 'compound': -0.4588}"
Canyon guide,The Boulder,"{'neg': 0.149, 'neu': 0.664, 'pos': 0.187, 'compound': -0.0258}"
Canyon guide,Aang,"{'neg': 0.051, 'neu': 0.789, 'pos': 0.16, 'compound': 0.6249}"
Sokka,Aang,"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.5767}"
Aang,Canyon guide,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Canyon guide,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Aang,"{'neg': 0.078, 'neu': 0.902, 'pos': 0.02, 'compound': -0.75}"
Zhang leader,Sokka,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.4939}"
Zhang leader,Jin,"{'neg': 0.129, 'neu': 0.871, 'pos': 0.0, 'compound': -0.6113}"
Zhang leader,Zhang leader,"{'neg': 0.071, 'neu': 0.779, 'pos': 0.15, 'compound': 0.9526}"
Aang,Aang,"{'neg': 0.081, 'neu': 0.779, 'pos': 0.141, 'compound': 0.6696}"
Canyon guide,Aang,"{'neg': 0.263, 'neu': 0.737, 'pos': 0.0, 'compound': -0.3612}"
Aang,Katara,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Katara,Aang,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.4927}"
Sokka,Katara,"{'neg': 0.089, 'neu': 0.769, 'pos': 0.143, 'compound': 0.2091}"
Zhang leader,Jin,"{'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.7901}"
Zhang leader,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Zhang leader,Jin,"{'neg': 0.177, 'neu': 0.671, 'pos': 0.152, 'compound': -0.1027}"
Zhang leader,Aang,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.6808}"
Zhang leader,Jin,"{'neg': 0.215, 'neu': 0.785, 'pos': 0.0, 'compound': -0.5093}"
Aang,Jin,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.5792}"
Aang,Aang,"{'neg': 0.048, 'neu': 0.868, 'pos': 0.085, 'compound': 0.8154}"
Aang,Jin,"{'neg': 0.021, 'neu': 0.806, 'pos': 0.173, 'compound': 0.889}"
Aang,Aang,"{'neg': 0.078, 'neu': 0.78, 'pos': 0.141, 'compound': 0.3182}"
Sokka,Jin,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.4588}"
Katara,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Gyatso,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Gyatso,Aang,"{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.2732}"
Katara,Aang,"{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.2732}"
Aang,Aang,"{'neg': 0.101, 'neu': 0.751, 'pos': 0.147, 'compound': 0.1531}"
Sokka,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Katara,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Sokka,Sokka,"{'neg': 0.037, 'neu': 0.808, 'pos': 0.156, 'compound': 0.4548}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.6124}"
Katara,Aang,"{'neg': 0.086, 'neu': 0.745, 'pos': 0.169, 'compound': 0.2732}"
Sokka,Aang,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.8716}"
Zuko,Iroh,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.5719}"
Iroh,Zuko,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Zuko,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Iroh,Zuko,"{'neg': 0.132, 'neu': 0.692, 'pos': 0.176, 'compound': 0.1779}"
Zuko,Iroh,"{'neg': 0.272, 'neu': 0.607, 'pos': 0.121, 'compound': -0.354}"
Zuko,Aang,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.5984}"
Aang,Katara,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4215}"
Aang,Katara,"{'neg': 0.127, 'neu': 0.873, 'pos': 0.0, 'compound': -0.1531}"
Sokka,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Lieutenant Jee,Iroh,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}"
Zuko,Zuko,"{'neg': 0.063, 'neu': 0.818, 'pos': 0.12, 'compound': 0.4574}"
Jee,Iroh,"{'neg': 0.139, 'neu': 0.785, 'pos': 0.076, 'compound': -0.7162}"
Iroh,Zuko,"{'neg': 0.127, 'neu': 0.68, 'pos': 0.193, 'compound': 0.5508}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}"
Katara,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Katara,Aang,"{'neg': 0.148, 'neu': 0.68, 'pos': 0.172, 'compound': 0.1179}"
Katara,Appa,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.6229}"
Aang,Aang,"{'neg': 0.0, 'neu': 0.91, 'pos': 0.09, 'compound': 0.354}"
Tashi,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Tashi,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Pasang,Aang,"{'neg': 0.47, 'neu': 0.53, 'pos': 0.0, 'compound': -0.7964}"
Gyatso,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Jee,Aang,"{'neg': 0.274, 'neu': 0.726, 'pos': 0.0, 'compound': -0.7772}"
Jee,Iroh,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}"
Iroh,Zuko,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.4767}"
Iroh,Zuko,"{'neg': 0.283, 'neu': 0.552, 'pos': 0.165, 'compound': -0.5594}"
Young Zuko,Iroh,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}"
Bujing,Than,"{'neg': 0.179, 'neu': 0.658, 'pos': 0.163, 'compound': -0.128}"
Tashi,Aang,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2714}"
Tashi,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Iroh,Ozai,"{'neg': 0.193, 'neu': 0.724, 'pos': 0.083, 'compound': -0.7339}"
Iroh,Zuko,"{'neg': 0.191, 'neu': 0.777, 'pos': 0.032, 'compound': -0.9766}"
Pasang,Aang,"{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.7959}"
Katara,Aang,"{'neg': 0.273, 'neu': 0.727, 'pos': 0.0, 'compound': -0.4588}"
Aang,Aang,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.636}"
Aang,Aang,"{'neg': 0.073, 'neu': 0.86, 'pos': 0.067, 'compound': -0.0516}"
Aang,Aang,"{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.296}"
Iroh,Zuko,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.3612}"
Young Zuko,Zuko,"{'neg': 0.167, 'neu': 0.5, 'pos': 0.333, 'compound': 0.8746}"
Ozai,Zuko,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.4389}"
Ozai,Zuko,"{'neg': 0.184, 'neu': 0.752, 'pos': 0.065, 'compound': -0.5719}"
Iroh,Iroh,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.1027}"
Jee,Zuko,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4767}"
Iroh,Aang,"{'neg': 0.309, 'neu': 0.586, 'pos': 0.105, 'compound': -0.8792}"
Jee,Aang,"{'neg': 0.101, 'neu': 0.809, 'pos': 0.09, 'compound': -0.0622}"
Iroh,Aang,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.7227}"
Aang,Appa,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Zuko,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Shinu,Zhao,"{'neg': 0.251, 'neu': 0.749, 'pos': 0.0, 'compound': -0.6907}"
Zhao,Shinu,"{'neg': 0.056, 'neu': 0.665, 'pos': 0.279, 'compound': 0.8658}"
Zhao,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Shinu,Zhao,"{'neg': 0.293, 'neu': 0.658, 'pos': 0.049, 'compound': -0.8763}"
Zhao,Ozai,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.34}"
Sokka,Appa,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.743}"
Sokka,Appa,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4939}"
Aang,Sokka,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Sokka,"{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.296}"
Katara,Sokka,"{'neg': 0.086, 'neu': 0.701, 'pos': 0.213, 'compound': 0.5046}"
Aang,Sokka,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Appa,"{'neg': 0.088, 'neu': 0.867, 'pos': 0.045, 'compound': -0.4003}"
Iroh,Iroh,"{'neg': 0.058, 'neu': 0.657, 'pos': 0.285, 'compound': 0.8398}"
Zuko,Zhao,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.3182}"
Sokka,Katara,"{'neg': 0.394, 'neu': 0.282, 'pos': 0.324, 'compound': -0.128}"
Katara,Momo,"{'neg': 0.067, 'neu': 0.899, 'pos': 0.035, 'compound': -0.34}"
Aang,Herbalist,"{'neg': 0.104, 'neu': 0.736, 'pos': 0.161, 'compound': 0.4767}"
Iroh,Aang,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.3412}"
Zuko,Aang,"{'neg': 0.174, 'neu': 0.742, 'pos': 0.084, 'compound': -0.6808}"
Aang,Aang,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.7339}"
Zhao,Aang,"{'neg': 0.086, 'neu': 0.848, 'pos': 0.066, 'compound': 0.0504}"
Zhao,Zhao,"{'neg': 0.158, 'neu': 0.746, 'pos': 0.096, 'compound': -0.6797}"
Katara,Momo,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.4215}"
Katara,Aang,"{'neg': 0.273, 'neu': 0.676, 'pos': 0.051, 'compound': -0.8475}"
Zhao,Aang,"{'neg': 0.093, 'neu': 0.758, 'pos': 0.149, 'compound': 0.7243}"
Aang,Zuko,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.8042}"
Aang,Zuko,"{'neg': 0.16, 'neu': 0.717, 'pos': 0.123, 'compound': -0.3544}"
Katara,Aang,"{'neg': 0.165, 'neu': 0.756, 'pos': 0.079, 'compound': -0.3612}"
Zhao,Ozai,"{'neg': 0.087, 'neu': 0.866, 'pos': 0.047, 'compound': -0.2732}"
Zhao,Aang,"{'neg': 0.12, 'neu': 0.804, 'pos': 0.076, 'compound': -0.2462}"
Zhao,Aang,"{'neg': 0.191, 'neu': 0.556, 'pos': 0.253, 'compound': 0.1984}"
Zhao,Aang,"{'neg': 0.309, 'neu': 0.691, 'pos': 0.0, 'compound': -0.7003}"
Zhao,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Zuko,"{'neg': 0.132, 'neu': 0.696, 'pos': 0.172, 'compound': 0.679}"
Iroh,Lieutenant Jee,"{'neg': 0.101, 'neu': 0.691, 'pos': 0.207, 'compound': 0.5093}"
Sokka,Aang,"{'neg': 0.117, 'neu': 0.734, 'pos': 0.149, 'compound': 0.1926}"
Aang,Sokka,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Katara,"{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.3802}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.471, 'pos': 0.529, 'compound': 0.8779}"
Sokka,Aang,"{'neg': 0.104, 'neu': 0.693, 'pos': 0.203, 'compound': 0.4588}"
Sokka,Sokka,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.9098}"
Katara,Sokka,"{'neg': 0.15, 'neu': 0.565, 'pos': 0.286, 'compound': 0.76}"
Calm man,Wu,"{'neg': 0.169, 'neu': 0.674, 'pos': 0.157, 'compound': -0.0516}"
Katara,Wu,"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.765}"
Aang,Sokka,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}"
Meng,Meng,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Meng,Katara,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4019}"
Meng,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Meng,Meng,"{'neg': 0.0, 'neu': 0.639, 'pos': 0.361, 'compound': 0.7777}"
Meng,Aang,"{'neg': 0.0, 'neu': 0.568, 'pos': 0.432, 'compound': 0.8856}"
Katara,Sokka,"{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.3252}"
Meng,Aang,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.8953}"
Sokka,Aang,"{'neg': 0.109, 'neu': 0.596, 'pos': 0.295, 'compound': 0.6216}"
Sokka,Aang,"{'neg': 0.281, 'neu': 0.593, 'pos': 0.126, 'compound': -0.443}"
Wu,Katara,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Wu,Aang,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.5994}"
Wu,Aang,"{'neg': 0.074, 'neu': 0.926, 'pos': 0.0, 'compound': -0.5859}"
Wu,Aang,"{'neg': 0.236, 'neu': 0.579, 'pos': 0.185, 'compound': -0.5386}"
Wu,Wu,"{'neg': 0.139, 'neu': 0.591, 'pos': 0.27, 'compound': 0.8999}"
Aang,Wu,"{'neg': 0.0, 'neu': 0.56, 'pos': 0.44, 'compound': 0.7424}"
Calm man,Wu,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Calm man,Wu,"{'neg': 0.0, 'neu': 0.95, 'pos': 0.05, 'compound': 0.2617}"
Meng,Aang,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.6597}"
Aang,Katara,"{'neg': 0.069, 'neu': 0.777, 'pos': 0.154, 'compound': 0.4329}"
Aang,Than,"{'neg': 0.06, 'neu': 0.815, 'pos': 0.124, 'compound': 0.1272}"
Katara,Wu,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.4574}"
Sokka,Aang,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.6658}"
Aang,Sokka,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}"
Sokka,Wu,"{'neg': 0.062, 'neu': 0.895, 'pos': 0.043, 'compound': -0.2052}"
Wu,Wu,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.6613}"
Sokka,Wu,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.5736}"
Aang,Sokka,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Sokka,Katara,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Meng,"{'neg': 0.136, 'neu': 0.748, 'pos': 0.116, 'compound': -0.0772}"
Meng,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Wu,Katara,"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.5423}"
Aang,Katara,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Katara,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Katara,Than,"{'neg': 0.243, 'neu': 0.287, 'pos': 0.471, 'compound': 0.3368}"
Aang,Momo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Lily,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Wu,"{'neg': 0.0, 'neu': 0.598, 'pos': 0.402, 'compound': 0.9765}"
Aang,Aang,"{'neg': 0.103, 'neu': 0.639, 'pos': 0.258, 'compound': 0.8417}"
Aang,Sokka,"{'neg': 0.104, 'neu': 0.818, 'pos': 0.078, 'compound': -0.1739}"
Aang,Katara,"{'neg': 0.191, 'neu': 0.449, 'pos': 0.36, 'compound': 0.3612}"
Sokka,Wu,"{'neg': 0.299, 'neu': 0.597, 'pos': 0.104, 'compound': -0.5994}"
Katara,Sokka,"{'neg': 0.19, 'neu': 0.748, 'pos': 0.062, 'compound': -0.6249}"
Sokka,Wu,"{'neg': 0.235, 'neu': 0.765, 'pos': 0.0, 'compound': -0.5696}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.971, 'pos': 0.029, 'compound': 0.0387}"
Aang,Wu,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.3699}"
Meng,Katara,"{'neg': 0.061, 'neu': 0.862, 'pos': 0.076, 'compound': 0.2732}"
Meng,Meng,"{'neg': 0.032, 'neu': 0.697, 'pos': 0.271, 'compound': 0.8508}"
Sokka,Wu,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Sokka,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4939}"
Sokka,Aang,"{'neg': 0.0, 'neu': 0.609, 'pos': 0.391, 'compound': 0.5423}"
Calm man,Wu,"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.6696}"
Katara,Sokka,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.2263}"
Wu,Aang,"{'neg': 0.057, 'neu': 0.862, 'pos': 0.081, 'compound': 0.2263}"
Katara,Meng,"{'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.872}"
Sokka,Aang,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.3612}"
Sokka,Sokka,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.6643}"
Katara,Sokka,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.2732}"
Sokka,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Iroh,Zuko,"{'neg': 0.054, 'neu': 0.867, 'pos': 0.079, 'compound': 0.2481}"
Zuko,Iroh,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}"
Iroh,Zuko,"{'neg': 0.106, 'neu': 0.681, 'pos': 0.214, 'compound': 0.6901}"
Hakoda,Sokka,"{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.5994}"
Aang,Katara,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Katara,Bato,"{'neg': 0.0, 'neu': 0.228, 'pos': 0.772, 'compound': 0.5255}"
Bato,Katara,"{'neg': 0.035, 'neu': 0.849, 'pos': 0.116, 'compound': 0.5785}"
Aang,Aang,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.3818}"
Bato,Bato,"{'neg': 0.137, 'neu': 0.826, 'pos': 0.037, 'compound': -0.6908}"
Bato,Aang,"{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.743}"
Mother Superior,Aang,"{'neg': 0.0, 'neu': 0.544, 'pos': 0.456, 'compound': 0.8979}"
Sokka,Appa,"{'neg': 0.121, 'neu': 0.802, 'pos': 0.078, 'compound': -0.1926}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.4199}"
Aang,Than,"{'neg': 0.471, 'neu': 0.368, 'pos': 0.162, 'compound': -0.6369}"
Bato,Aang,"{'neg': 0.029, 'neu': 0.922, 'pos': 0.049, 'compound': 0.1882}"
Aang,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Sokka,Aang,"{'neg': 0.23, 'neu': 0.574, 'pos': 0.196, 'compound': 0.0772}"
Sokka,Aang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Katara,Bato,"{'neg': 0.0, 'neu': 0.586, 'pos': 0.414, 'compound': 0.6851}"
Bato,Aang,"{'neg': 0.0, 'neu': 0.799, 'pos': 0.201, 'compound': 0.901}"
June,Iroh,"{'neg': 0.453, 'neu': 0.434, 'pos': 0.114, 'compound': -0.7394}"
June,Iroh,"{'neg': 0.106, 'neu': 0.745, 'pos': 0.149, 'compound': 0.3612}"
