x,y,sentiment
Katara,Aang,"{'neg': 0.469, 'neu': 0.531, 'pos': 0.0, 'compound': -0.7345}"
Aang,Katara,"{'neg': 0.128, 'neu': 0.752, 'pos': 0.12, 'compound': -0.0772}"
Kanna,Katara,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.7896}"
Aang,Katara,"{'neg': 0.374, 'neu': 0.499, 'pos': 0.127, 'compound': -0.6077}"
Katara,Sokka,"{'neg': 0.426, 'neu': 0.574, 'pos': 0.0, 'compound': -0.6369}"
Sokka,Aang,"{'neg': 0.297, 'neu': 0.549, 'pos': 0.155, 'compound': -0.6588}"
Katara,Aang,"{'neg': 0.078, 'neu': 0.614, 'pos': 0.308, 'compound': 0.8043}"
Katara,Sokka,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.3802}"
Kanna,Katara,"{'neg': 0.193, 'neu': 0.655, 'pos': 0.153, 'compound': -0.0258}"
Katara,Aang,"{'neg': 0.311, 'neu': 0.592, 'pos': 0.097, 'compound': -0.6103}"
Katara,Aang,"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.4215}"
Aang,Katara,"{'neg': 0.1, 'neu': 0.9, 'pos': 0.0, 'compound': -0.0572}"
Aang,Appa,"{'neg': 0.041, 'neu': 0.777, 'pos': 0.182, 'compound': 0.8591}"
Sokka,Appa,"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2732}"
Aang,Appa,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.5093}"
Southern Water Tribe girl,Aang,"{'neg': 0.12, 'neu': 0.818, 'pos': 0.062, 'compound': -0.3252}"
Aang,Katara,"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.7783}"
Kanna,Katara,"{'neg': 0.115, 'neu': 0.733, 'pos': 0.152, 'compound': 0.1779}"
Katara,Aang,"{'neg': 0.157, 'neu': 0.696, 'pos': 0.147, 'compound': -0.1007}"
Aang,Appa,"{'neg': 0.15, 'neu': 0.725, 'pos': 0.125, 'compound': -0.2481}"
Katara,Sokka,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Katara,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.4767}"
Sokka,Aang,"{'neg': 0.25, 'neu': 0.435, 'pos': 0.315, 'compound': 0.1531}"
Aang,Zuko,"{'neg': 0.191, 'neu': 0.698, 'pos': 0.111, 'compound': -0.3309}"
Katara,Aang,"{'neg': 0.404, 'neu': 0.596, 'pos': 0.0, 'compound': -0.5242}"
Aang,Katara,"{'neg': 0.124, 'neu': 0.607, 'pos': 0.27, 'compound': 0.6711}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.8126}"
Katara,Aang,"{'neg': 0.082, 'neu': 0.893, 'pos': 0.025, 'compound': -0.327}"
