x,y,weight
pathik,aang,7
zuko,iroh,4
aang,katara,4
hakoda,sokka,2
katara,momo,2
aang,aang,2
azula,zuko,1
general how,fong,1
yu,toph,1
xin fu,toph,1
ty lee,mai,1
ty lee,kyoshi,1
ty lee,azula,1
ty lee,aang,1
toph,toph,1
sokka,katara,1
pathik,gyatso,1
pathik,appa,1
aang,pathik,1
mai,kuei,1
long feng,kyoshi,1
long feng,kuei,1
long feng,azula,1
long feng,aang,1
kuei,long feng,1
aang,appa,1
katara,zuko,1
katara,suki,1
azula,kuei,1
katara,kuei,1
katara,iroh,1
katara,general how,1
iroh,zuko,1
iroh,kuei,1
azula,kyoshi,1
hakoda,bato,1
general how,kuei,1
kuei,kyoshi,1
