x,y,weight
sokka,kuei,4
joo dee,kuei,3
smellerbee,jet,3
aang,katara,2
toph,katara,2
aang,toph,2
long feng,long feng,2
sokka,momo,2
sokka,aang,2
pong,pong,1
long feng,kuei,1
pao,due,1
pong,aang,1
aang,appa,1
long feng,appa,1
sokka,appa,1
sokka,pong,1
toph,aang,1
toph,kuei,1
long feng,joo dee,1
katara,toph,1
long feng,aang,1
katara,mai,1
katara,kuei,1
katara,joo dee,1
katara,appa,1
joo dee replacement,joo dee,1
joo dee,toph,1
joo dee,sokka,1
joo dee,katara,1
joo dee,joo dee,1
joo dee,appa,1
joo dee,aang,1
aang,sokka,1
aang,pong,1
aang,momo,1
zuko,iroh,1
