x,y,weight
zuko,iroh,6
aang,aang,3
aang,momo,3
aang,ozai,3
avatar roku,aang,3
yangchen,aang,3
sokka,aang,3
iroh,ozai,3
iroh,zuko,3
katara,aang,2
zuko,azula,2
zuko,aang,2
toph,ozai,2
toph,aang,2
aang,kyoshi,2
zuko,ozai,2
aang,roku,2
iroh,aang,2
june,aang,1
june,iroh,1
zuko,katara,1
aang,yangchen,1
avatar roku,ozai,1
yangchen,yangchen,1
avatar roku,sozin,1
bumi,momo,1
sokka,piandao,1
sokka,pakku,1
sokka,iroh,1
sokka,bumi,1
iroh,azula,1
piandao,zuko,1
piandao,sokka,1
piandao,iroh,1
pakku,pakku,1
pakku,iroh,1
kyoshi,aang,1
kuruk,kuruk,1
kuruk,koh,1
iroh,sozin,1
katara,zuko,1
katara,pakku,1
katara,iroh,1
katara,azula,1
jeong jeong,jeong jeong,1
kuruk,aang,1
