x,y,weight
katara,sokka,3
hakoda,sokka,3
sokka,aang,3
hakoda,katara,3
sokka,katara,3
hakoda,azulon,2
katara,aang,2
iroh,ming,2
haru,katara,2
the boulder,the boulder,2
aang,ozai,2
toph,aang,2
the boulder,the hippo,1
sokka,kyoshi,1
tho,due,1
toph,sokka,1
tho,huu,1
toph,ozai,1
teo,aang,1
sokka,suki,1
sokka,ozai,1
warden poon,ming,1
sokka,mechanist,1
tyro,katara,1
aang,aang,1
sokka,haru,1
ming,iroh,1
aang,azula,1
katara,haru,1
hakoda,ozai,1
hakoda,aang,1
due,tho,1
due,huu,1
bato,sokka,1
aang,toph,1
aang,sokka,1
aang,katara,1
aang,haru,1
zuko,mai,1
