x,y,weight
sokka,aang,9
katara,aang,6
zuko,aang,6
aang,ozai,4
ozai,azula,4
sokka,zuko,4
sokka,suki,3
sokka,ozai,3
sokka,appa,3
ozai,ozai,3
katara,zuko,3
sokka,toph,3
ozai,sozin,2
ozai,zuko,2
aang,momo,2
toph,aang,2
zuko,iroh,2
zuko,ozai,2
aang,katara,2
zuko,sokka,1
toph,haru,1
toph,toph,1
toph,suki,1
toph,june,1
zuko,june,1
zuko,appa,1
toph,momo,1
toph,zuko,1
toph,sokka,1
toph,ozai,1
aang,appa,1
sokka,momo,1
sokka,katara,1
ozai,shinu,1
katara,sokka,1
katara,ozai,1
katara,momo,1
katara,azula,1
katara,appa,1
azula,zuko,1
azula,ozai,1
azula,azula,1
actress aang,aang,1
aang,sozin,1
aang,sokka,1
aang,kuei,1
zuko,sozin,1
