x,y,weight
aang,appa,5
sokka,kuei,5
kuei,aang,4
sokka,long feng,3
katara,sokka,3
sokka,appa,3
katara,aang,3
blue dragon,zuko,2
kuei,long feng,2
sokka,aang,2
blue dragon,ozai,2
toph,long feng,2
kuei,sokka,2
katara,kuei,2
katara,long feng,2
aang,katara,2
sokka,suki,2
red dragon,zuko,1
red dragon,ozai,1
aang,aang,1
long feng,appa,1
sokka,kyoshi,1
sokka,toph,1
toph,sokka,1
ursa,zuko,1
red dragon,blue dragon,1
kuei,kuei,1
long feng,aang,1
kuei,toph,1
kuei,kyoshi,1
kuei,general how,1
katara,hakoda,1
iroh,zuko,1
iroh,appa,1
iroh,aang,1
general how,long feng,1
general how,appa,1
azula,kuei,1
aang,long feng,1
aang,kuei,1
zuko,iroh,1
