x,y,weight
shyu,aang,12
katara,aang,10
shyu,roku,7
aang,aang,6
shyu,avatar roku,6
great fire sage,aang,6
zuko,aang,5
aang,roku,5
zuko,iroh,4
roku,aang,4
zuko,zhao,4
aang,sokka,3
great fire sage,roku,3
aang,avatar roku,3
zhao,zuko,3
zhao,ozai,3
katara,sokka,3
iroh,zuko,3
katara,roku,2
aang,appa,2
iroh,aang,2
roku,ozai,2
roku,sozin,2
great fire sage,avatar roku,2
aang,shyu,2
katara,avatar roku,2
zhao,aang,2
katara,appa,1
sokka,shyu,1
aang,katara,1
iroh,ozai,1
zhao,appa,1
shyu,sozin,1
sokka,momo,1
sokka,appa,1
sokka,aang,1
shyu,ozai,1
great fire sage,zhao,1
great fire sage,momo,1
katara,zuko,1
great fire sage,shyu,1
