x,y,weight
aang,appa,11
aang,jet,4
katara,jet,3
jet,appa,3
long feng,kuei,3
long feng,aang,3
jet,katara,3
zuko,iroh,3
long feng,appa,2
smellerbee,jet,2
long feng,jet,2
iroh,aang,2
aang,katara,2
quon,pao,2
aang,long feng,2
katara,aang,2
sokka,appa,2
sokka,katara,2
sokka,toph,2
iroh,zuko,2
long feng,joo dee,2
sokka,joo dee,1
sokka,jet,1
old sweepy,old sweepy,1
smellerbee,appa,1
toph,kuei,1
toph,sokka,1
pao,iroh,1
zuko,aang,1
zuko,appa,1
brainwasher,joo dee,1
aang,joo dee,1
katara,sokka,1
katara,joo dee,1
katara,appa,1
joo dee,toph,1
joo dee,sokka,1
joo dee,katara,1
joo dee,joo dee,1
joo dee,aang,1
aang,momo,1
aang,sokka,1
jet,aang,1
iroh,blue spirit,1
iroh,appa,1
aang,aang,1
